Running with CUDA on GPU 0	
Loading data from HDF5 to Memory...	
Sorting the data into sets...	
Reshaping data in split:	test	
Reshaping data in split:	train	
Reshaping data in split:	val	
Network Archtiecture: Skip connections, data vector input method 1	
Epoch 1.07 / 50, i = 94 / 67200, loss = 3.170630	
Epoch 1.07 / 50, i = 95 / 67200, loss = 3.170723	
Epoch 1.07 / 50, i = 96 / 67200, loss = 3.172784	
Epoch 1.07 / 50, i = 97 / 67200, loss = 3.168438	
Epoch 1.07 / 50, i = 98 / 67200, loss = 3.165401	
Epoch 1.07 / 50, i = 99 / 67200, loss = 3.177011	
Epoch 1.07 / 50, i = 100 / 67200, loss = 3.184751	
Epoch 1.08 / 50, i = 101 / 67200, loss = 3.172760	
Epoch 1.08 / 50, i = 102 / 67200, loss = 3.166897	
Epoch 1.08 / 50, i = 103 / 67200, loss = 3.174403	
Epoch 1.08 / 50, i = 104 / 67200, loss = 3.192624	
Epoch 1.08 / 50, i = 105 / 67200, loss = 3.180125	
Epoch 1.08 / 50, i = 106 / 67200, loss = 3.176758	
Epoch 1.08 / 50, i = 107 / 67200, loss = 3.165585	
Epoch 1.08 / 50, i = 108 / 67200, loss = 3.148192	
Epoch 1.08 / 50, i = 109 / 67200, loss = 3.175050	
Epoch 1.08 / 50, i = 110 / 67200, loss = 3.153896	
Epoch 1.08 / 50, i = 111 / 67200, loss = 3.192144	
Epoch 1.08 / 50, i = 112 / 67200, loss = 3.201665	
Epoch 1.08 / 50, i = 113 / 67200, loss = 3.183147	
Epoch 1.08 / 50, i = 114 / 67200, loss = 3.174216	
Epoch 1.09 / 50, i = 115 / 67200, loss = 3.175430	
Epoch 1.09 / 50, i = 116 / 67200, loss = 3.147130	
Epoch 1.09 / 50, i = 117 / 67200, loss = 3.185734	
Epoch 1.09 / 50, i = 118 / 67200, loss = 3.176391	
Epoch 1.09 / 50, i = 119 / 67200, loss = 3.181280	
Epoch 1.09 / 50, i = 120 / 67200, loss = 3.168585	
Epoch 1.09 / 50, i = 121 / 67200, loss = 3.185947	
Epoch 1.09 / 50, i = 122 / 67200, loss = 3.165941	
Epoch 1.09 / 50, i = 123 / 67200, loss = 3.191991	
Epoch 1.09 / 50, i = 124 / 67200, loss = 3.161226	
Epoch 1.09 / 50, i = 125 / 67200, loss = 3.154896	
Epoch 1.09 / 50, i = 126 / 67200, loss = 3.175534	
Epoch 1.09 / 50, i = 127 / 67200, loss = 3.191432	
Epoch 1.10 / 50, i = 128 / 67200, loss = 3.146632	
Epoch 1.10 / 50, i = 129 / 67200, loss = 3.166610	
Epoch 1.10 / 50, i = 130 / 67200, loss = 3.158266	
Epoch 1.10 / 50, i = 131 / 67200, loss = 3.172795	
Epoch 1.10 / 50, i = 132 / 67200, loss = 3.159503	
Epoch 1.10 / 50, i = 133 / 67200, loss = 3.163502	
Epoch 1.10 / 50, i = 134 / 67200, loss = 3.151350	
Epoch 1.10 / 50, i = 135 / 67200, loss = 3.160540	
Epoch 1.10 / 50, i = 136 / 67200, loss = 3.168450	
Epoch 1.10 / 50, i = 137 / 67200, loss = 3.160085	
Epoch 1.10 / 50, i = 138 / 67200, loss = 3.182184	
Epoch 1.10 / 50, i = 139 / 67200, loss = 3.170855	
Epoch 1.10 / 50, i = 140 / 67200, loss = 3.178998	
Epoch 1.10 / 50, i = 141 / 67200, loss = 3.181248	
Epoch 1.11 / 50, i = 142 / 67200, loss = 3.182210	
Epoch 1.11 / 50, i = 143 / 67200, loss = 3.173006	
Epoch 1.11 / 50, i = 144 / 67200, loss = 3.187322	
Epoch 1.11 / 50, i = 145 / 67200, loss = 3.171145	
Epoch 1.11 / 50, i = 146 / 67200, loss = 3.170101	
Epoch 1.11 / 50, i = 147 / 67200, loss = 3.167751	
Epoch 1.11 / 50, i = 148 / 67200, loss = 3.168788	
Epoch 1.11 / 50, i = 149 / 67200, loss = 3.169277	
Epoch 1.11 / 50, i = 150 / 67200, loss = 3.158322	
Epoch 1.11 / 50, i = 151 / 67200, loss = 3.161313	
Epoch 1.11 / 50, i = 152 / 67200, loss = 3.170936	
Epoch 1.11 / 50, i = 153 / 67200, loss = 3.170789	
Epoch 1.11 / 50, i = 154 / 67200, loss = 3.172697	
Epoch 1.12 / 50, i = 155 / 67200, loss = 3.174748	
Epoch 1.12 / 50, i = 156 / 67200, loss = 3.178113	
Epoch 1.12 / 50, i = 157 / 67200, loss = 3.170703	
Epoch 1.12 / 50, i = 158 / 67200, loss = 3.177739	
Epoch 1.12 / 50, i = 159 / 67200, loss = 3.154299	
Epoch 1.12 / 50, i = 160 / 67200, loss = 3.150586	
Epoch 1.12 / 50, i = 161 / 67200, loss = 3.173713	
Epoch 1.12 / 50, i = 162 / 67200, loss = 3.179645	
Epoch 1.12 / 50, i = 163 / 67200, loss = 3.184855	
Epoch 1.12 / 50, i = 164 / 67200, loss = 3.163286	
Epoch 1.12 / 50, i = 165 / 67200, loss = 3.158872	
Epoch 1.12 / 50, i = 166 / 67200, loss = 3.192723	
Epoch 1.12 / 50, i = 167 / 67200, loss = 3.190650	
Epoch 1.12 / 50, i = 168 / 67200, loss = 3.150185	
Epoch 1.13 / 50, i = 169 / 67200, loss = 3.161580	
Epoch 1.13 / 50, i = 170 / 67200, loss = 3.149274	
Epoch 1.13 / 50, i = 171 / 67200, loss = 3.172433	
Epoch 1.13 / 50, i = 172 / 67200, loss = 3.181012	
Epoch 1.13 / 50, i = 173 / 67200, loss = 3.153191	
Epoch 1.13 / 50, i = 174 / 67200, loss = 3.168889	
Epoch 1.13 / 50, i = 175 / 67200, loss = 3.163555	
Epoch 1.13 / 50, i = 176 / 67200, loss = 3.154586	
Epoch 1.13 / 50, i = 177 / 67200, loss = 3.172808	
Epoch 1.13 / 50, i = 178 / 67200, loss = 3.158078	
Epoch 1.13 / 50, i = 179 / 67200, loss = 3.169974	
Epoch 1.13 / 50, i = 180 / 67200, loss = 3.151007	
Epoch 1.13 / 50, i = 181 / 67200, loss = 3.206861	
Epoch 1.14 / 50, i = 182 / 67200, loss = 3.168025	
Epoch 1.14 / 50, i = 183 / 67200, loss = 3.163486	
Epoch 1.14 / 50, i = 184 / 67200, loss = 3.160221	
Epoch 1.14 / 50, i = 185 / 67200, loss = 3.162882	
Epoch 1.14 / 50, i = 186 / 67200, loss = 3.164834	
Epoch 1.14 / 50, i = 187 / 67200, loss = 3.151961	
Epoch 1.14 / 50, i = 188 / 67200, loss = 3.167678	
Epoch 1.14 / 50, i = 189 / 67200, loss = 3.160010	
Epoch 1.14 / 50, i = 190 / 67200, loss = 3.164087	
Epoch 1.14 / 50, i = 191 / 67200, loss = 3.175677	
Epoch 1.14 / 50, i = 192 / 67200, loss = 3.180876	
Epoch 1.14 / 50, i = 193 / 67200, loss = 3.163675	
Epoch 1.14 / 50, i = 194 / 67200, loss = 3.143748	
Epoch 1.15 / 50, i = 195 / 67200, loss = 3.166549	
Epoch 1.15 / 50, i = 196 / 67200, loss = 3.172903	
Epoch 1.15 / 50, i = 197 / 67200, loss = 3.155233	
Epoch 1.15 / 50, i = 198 / 67200, loss = 3.167436	
Epoch 1.15 / 50, i = 199 / 67200, loss = 3.166383	
Epoch 1.15 / 50, i = 200 / 67200, loss = 3.186278	
Epoch 1.15 / 50, i = 201 / 67200, loss = 3.161859	
Epoch 1.15 / 50, i = 202 / 67200, loss = 3.190193	
Epoch 1.15 / 50, i = 203 / 67200, loss = 3.150826	
Epoch 1.15 / 50, i = 204 / 67200, loss = 3.169756	
Epoch 1.15 / 50, i = 205 / 67200, loss = 3.149825	
Epoch 1.15 / 50, i = 206 / 67200, loss = 3.185344	
Epoch 1.15 / 50, i = 207 / 67200, loss = 3.171029	
Epoch 1.15 / 50, i = 208 / 67200, loss = 3.161549	
Epoch 1.16 / 50, i = 209 / 67200, loss = 3.169767	
Epoch 1.16 / 50, i = 210 / 67200, loss = 3.161570	
Epoch 1.16 / 50, i = 211 / 67200, loss = 3.180828	
Epoch 1.16 / 50, i = 212 / 67200, loss = 3.155863	
Epoch 1.16 / 50, i = 213 / 67200, loss = 3.168880	
Epoch 1.16 / 50, i = 214 / 67200, loss = 3.183374	
Epoch 1.16 / 50, i = 215 / 67200, loss = 3.130604	
Epoch 1.16 / 50, i = 216 / 67200, loss = 3.167000	
Epoch 1.16 / 50, i = 217 / 67200, loss = 3.177705	
Epoch 1.16 / 50, i = 218 / 67200, loss = 3.165136	
Epoch 1.16 / 50, i = 219 / 67200, loss = 3.162569	
Epoch 1.16 / 50, i = 220 / 67200, loss = 3.161019	
Epoch 1.16 / 50, i = 221 / 67200, loss = 3.142383	
Epoch 1.17 / 50, i = 222 / 67200, loss = 3.166209	
Epoch 1.17 / 50, i = 223 / 67200, loss = 3.184686	
Epoch 1.17 / 50, i = 224 / 67200, loss = 3.151106	
Epoch 1.17 / 50, i = 225 / 67200, loss = 3.147058	
Epoch 1.17 / 50, i = 226 / 67200, loss = 3.184096	
Epoch 1.17 / 50, i = 227 / 67200, loss = 3.174496	
Epoch 1.17 / 50, i = 228 / 67200, loss = 3.169961	
Epoch 1.17 / 50, i = 229 / 67200, loss = 3.146970	
Epoch 1.17 / 50, i = 230 / 67200, loss = 3.147303	
Epoch 1.17 / 50, i = 231 / 67200, loss = 3.170759	
Epoch 1.17 / 50, i = 232 / 67200, loss = 3.148333	
Epoch 1.17 / 50, i = 233 / 67200, loss = 3.165651	
Epoch 1.17 / 50, i = 234 / 67200, loss = 3.150308	
Epoch 1.17 / 50, i = 235 / 67200, loss = 3.136203	
Epoch 1.18 / 50, i = 236 / 67200, loss = 3.159902	
Epoch 1.18 / 50, i = 237 / 67200, loss = 3.156549	
Epoch 1.18 / 50, i = 238 / 67200, loss = 3.134714	
Epoch 1.18 / 50, i = 239 / 67200, loss = 3.179390	
Epoch 1.18 / 50, i = 240 / 67200, loss = 3.152545	
Epoch 1.18 / 50, i = 241 / 67200, loss = 3.152515	
Epoch 1.18 / 50, i = 242 / 67200, loss = 3.137114	
Epoch 1.18 / 50, i = 243 / 67200, loss = 3.157138	
Epoch 1.18 / 50, i = 244 / 67200, loss = 3.167962	
Epoch 1.18 / 50, i = 245 / 67200, loss = 3.142441	
Epoch 1.18 / 50, i = 246 / 67200, loss = 3.134986	
Epoch 1.18 / 50, i = 247 / 67200, loss = 3.147621	
Epoch 1.18 / 50, i = 248 / 67200, loss = 3.176378	
Epoch 1.19 / 50, i = 249 / 67200, loss = 3.134758	
