Running with CUDA on GPU 0	
Loading data from HDF5 to Memory...	
Sorting the data into sets...	
Loading files...	
Loading x_splits	
Loading y_splits	
Loading split_sizes	
Finished loading Torch objects from file	
Network Archtiecture: Skip connections, data vector input method 1	
Epoch 1.07 / 50, i = 94 / 67200, loss = 3.193071	
Epoch 1.07 / 50, i = 95 / 67200, loss = 3.201678	
Epoch 1.07 / 50, i = 96 / 67200, loss = 3.199303	
Epoch 1.07 / 50, i = 97 / 67200, loss = 3.201684	
Epoch 1.07 / 50, i = 98 / 67200, loss = 3.204694	
Epoch 1.07 / 50, i = 99 / 67200, loss = 3.200848	
Epoch 1.07 / 50, i = 100 / 67200, loss = 3.212399	
Epoch 1.08 / 50, i = 101 / 67200, loss = 3.210624	
Epoch 1.08 / 50, i = 102 / 67200, loss = 3.206821	
Epoch 1.08 / 50, i = 103 / 67200, loss = 3.197768	
Epoch 1.08 / 50, i = 104 / 67200, loss = 3.223200	
Epoch 1.08 / 50, i = 105 / 67200, loss = 3.203264	
Epoch 1.08 / 50, i = 106 / 67200, loss = 3.207463	
Epoch 1.08 / 50, i = 107 / 67200, loss = 3.197962	
Epoch 1.08 / 50, i = 108 / 67200, loss = 3.186246	
Epoch 1.08 / 50, i = 109 / 67200, loss = 3.204827	
Epoch 1.08 / 50, i = 110 / 67200, loss = 3.192598	
Epoch 1.08 / 50, i = 111 / 67200, loss = 3.219517	
Epoch 1.08 / 50, i = 112 / 67200, loss = 3.220727	
Epoch 1.08 / 50, i = 113 / 67200, loss = 3.210262	
Epoch 1.08 / 50, i = 114 / 67200, loss = 3.204411	
Epoch 1.09 / 50, i = 115 / 67200, loss = 3.204243	
Epoch 1.09 / 50, i = 116 / 67200, loss = 3.183860	
Epoch 1.09 / 50, i = 117 / 67200, loss = 3.217583	
Epoch 1.09 / 50, i = 118 / 67200, loss = 3.199126	
Epoch 1.09 / 50, i = 119 / 67200, loss = 3.216848	
Epoch 1.09 / 50, i = 120 / 67200, loss = 3.200117	
Epoch 1.09 / 50, i = 121 / 67200, loss = 3.212858	
Epoch 1.09 / 50, i = 122 / 67200, loss = 3.205805	
Epoch 1.09 / 50, i = 123 / 67200, loss = 3.220216	
Epoch 1.09 / 50, i = 124 / 67200, loss = 3.195441	
Epoch 1.09 / 50, i = 125 / 67200, loss = 3.195727	
Epoch 1.09 / 50, i = 126 / 67200, loss = 3.210242	
Epoch 1.09 / 50, i = 127 / 67200, loss = 3.205077	
Epoch 1.10 / 50, i = 128 / 67200, loss = 3.182737	
Epoch 1.10 / 50, i = 129 / 67200, loss = 3.211402	
Epoch 1.10 / 50, i = 130 / 67200, loss = 3.199691	
Epoch 1.10 / 50, i = 131 / 67200, loss = 3.200311	
Epoch 1.10 / 50, i = 132 / 67200, loss = 3.202772	
Epoch 1.10 / 50, i = 133 / 67200, loss = 3.199646	
Epoch 1.10 / 50, i = 134 / 67200, loss = 3.199682	
Epoch 1.10 / 50, i = 135 / 67200, loss = 3.204371	
Epoch 1.10 / 50, i = 136 / 67200, loss = 3.205127	
Epoch 1.10 / 50, i = 137 / 67200, loss = 3.186875	
